,id,head_ru,transliteration,literal,meaning,equivalents,transparency
3,4,БЕЛАЯ ВОРОНА,belaja worona,Ein weißer Rabe.,"Ein Mensch, der sich deutlich von anderen unterscheidet; eine große Ausnahme.",ein weißer Rabe,1.0
12,13,БРАТЬ кого-либо ПОД КРЫЛЫШКО,bratj (kowo-libo) pod krylyschko,J-n unter die Fittiche nehmen.,J-n in seine Obhut nehmen.,j-n unter seine Fittiche nehmen.,1.0
19,20,БРОСИТЬ ТЕНЬ на кого-либо/что-либо,broßitj tenj (na kowo-libo/tschto-libo),Schatten auf j-n werfen.,J-n verleumden; schlecht von j-m reden; j-n verdächtigen.,einen Schatten auf j-n/etw. werfen,1.0
24,25,БЫТЬ НА СЕДЬМОМ НЕБЕ,bytj na ßedjmom nebe,Im siebenten Himmel sein.,Überaus glücklich sein.,im siebenten Himmel sein,1.0
41,42,ВЗВЕШИВАТЬ СВОИ СЛОВА,wsweschiwatj ßwoi ßlowa,Seine Worte abwägen. ,"Sorgfältig überlegen und einschätzen, was man sagen will.",seine Worte wägen,1.0
43,44,ВЗЯТЬ БЫКА ЗА РОГА,wsjatj byka sa roga,Den Stier bei den Hörnern packen.,Eine Angelegenheit energisch in Angriff nehmen.,den Stier bei den Hörnern packen,1.0
51,52,ВИСЕТЬ В ВОЗДУХЕ,wißetj w wosduche,In der Luft hängen.,Noch nicht entschieden sein; sich in einer ungewissen Lage befinden.,in der Luft hängen,1.0
58,59,ВЛЮБИТЬСЯ ПО УШИ,wljubitza po uschi,Sich bis an die Ohren verlieben.,Sehr verliebt sein.,bis über beide Ohren verliebt sein,1.0
60,61,ВОДИТЬ кого-либо ЗА НОС,woditj (kowo-libo) sa noß,J-n an der Nase führen.,J-n betrügen / überlisten; ein Versprechen nicht erfüllen.,j-n an der Nase herumführen,1.0
62,63,ВОДЫ НЕ ЗАМУТИТ,wody ne samutit,Er wird das Wasser nicht trüben.,"Er ist sehr bescheiden, sehr ruhig.",er kann kein Wässerchen trüben,1.0
63,64,ВОЙТИ В ИСТОРИЮ,wojti w ißtoriju,In die Geschichte eingehen.,Bekannt werden; den Menschen als bedeutsames Ereignis im Gedächtnis bleiben.,in die Geschichte eingehen,1.0
67,68,ВОТ ГДЕ СОБАКА ЗАРЫТА,wot gde ßobaka saryta,Da liegt der Hund begraben.,Das ist die wahre Ursache; das ist der Kern der Angelegenheit.,da liegt der Hund begraben,1.0
