,id,head_ru,transliteration,literal,meaning,equivalents,transparency
8,9,БОЛЬНОЕ МЕСТО,bol’noye m’esto,A sore spot.,A matter that easily upsets one or about which one is sensitive; something that causes anxiety.,A sore/tender spot; a touchy subject,1.0
10,11,БОЯТЬСЯ СОБСТВЕННОЙ ТЕНИ,boyattsa sobstvennoi t’eni,To be afraid of one’s own shadow. ,To be unreasonably nervous due to groundless and trivial fears.,To be afraid of one’s own shadow,1.0
12,13,БРАТЬ кого-либо ПОД КРЫЛЫШКО,brat’ pod krylyshko,To take someone under one’s little wing.,To give someone every care and attention; ti put someone under one’s protection. ,To take someone under one’s wing,1.0
22,23,БЫТЬ НА ДРУЖЕСКОЙ НОГЕ,byt’ na druzheskoy nog’e,To be on a friendly foot with someone.,To be on intimate or friendly terms with someone.,To be on a good/friendly footing with someone,1.0
24,25,БЫТЬ НА СЕДЬМОМ НЕБЕ,byt’ na s’ed’mom n’eb’e,To be in the seventh heaven.,"To be overfilled with joy, to be supremely happy or satisfied.",To tread/walk on air; to be in seventh heaven,1.0
36,37,ВБИВАТЬ В ГОЛОВУ,vbivat’ v golovu,To hammer something into someone’s head.,To make something completely understood by emphatic repetition; to keep reiterating something to make it stick in someone’s mind.,To hammer/drive something into someone’s head,1.0
37,38,ВБИВАТЬ КЛИН между кем-либо,vbivat’ klin,To drive a wedge between two groups of people or two individuals.,"To cause a breach or separation, to split apart; to make people quarrel.",To drive a wedge,1.0
39,40,ВЕРТИТСЯ у кого-либо НА ЯЗЫКЕ,v’ertitsa na yazyk’e,It is whirling on someone’s tongue.,On the verge of being uttered; something at the back of one’s mind one wants to say but which is not quite within recall of memory.,To be on the tip of one’s tongue,1.0
41,42,ВЗВЕШИВАТЬ СВОИ СЛОВА,vzv’eshivat’ svoi slova,To weigh one’s words.,To choose or use one’s words with deliberation; to give something a comprehensive evaluation.,To weigh one’s words,1.0
43,44,ВЗЯТЬ БЫКА ЗА РОГА,vz’at’ byka za roga,To take the bull by the horns.,To take up a matter vigorously and promptly getting directly to its essence.,To take the bull by the horns,1.0
44,45,ВЗЯТЬ ГОЛЫМИ РУКАМИ,vz’at’ golymi rukami,To take someone or something with one’s bare hands.,"To seize, to take possession of someone or something without much difficulty, without making special effort.",Without a hand’s turn; with one’s bare hands,1.0
47,48,ВИДЕТЬ кого-либо НАСКВОЗЬ,vid’et’ naskvoz’,To see through someone.,To know someone well; to be well aware of someone’s thoughts and intentions.,To know someone inside out; to see through someone; to read someone like a book,1.0
52,53,ВИСЕТЬ НА ВОЛОСКЕ,vis’et’ na volosk’e,To be hanging on a hair,To be in a perilous state,To hang by a thread; to hang by a single hair,1.0
